Wall time,Step,Value
1615315882.912447,4549758,-17.415422439575195
1615315884.7137175,4551235,139.91078186035156
1615315892.2343295,4557374,-209.857177734375
1615315894.093694,4558849,199.8623809814453
1615315895.9323294,4560503,138.93923950195312
1615315897.83478,4562015,-842.8549194335938
1615315913.045778,4574310,281.3885498046875
1615315921.97596,4581922,311.9194030761719
1615315921.9765923,4581935,292.37738037109375
1615315923.9434748,4583474,201.673583984375
1615315925.846045,4584974,241.77017211914062
1615315929.8092206,4588144,210.26004028320312
1615315931.6455846,4589617,338.4630126953125
1615315940.5300016,4597309,200.80784606933594
1615315949.4213989,4604937,225.90391540527344
1615315953.0446515,4608064,260.3458557128906
1615315962.3050528,4615772,-869.4309692382812
1615315962.3051972,4615806,297.7563781738281
1615315962.3053083,4615732,-168.95318603515625
1615315967.8399882,4620404,153.1439208984375
1615315988.0474536,4637289,-1299.394775390625
1615316006.8501284,4652564,108.92462921142578
1615316015.8853874,4660274,82.71634674072266
1615316017.860245,4661876,357.63787841796875
1615316030.9963639,4672607,174.8208465576172
1615316036.2602448,4677154,-925.5728759765625
1615316045.175658,4684820,155.549072265625
1615316052.4816632,4691048,-1371.0960693359375
1615316054.2840118,4692606,320.47406005859375
1615316058.1329272,4695598,247.50123596191406
1615316068.8656995,4704802,192.4239501953125
1615316072.238741,4707891,226.12652587890625
1615316074.1409268,4709378,201.45310974121094
1615316090.4537878,4723240,219.4434814453125
1615316093.9629548,4726356,-823.4348754882812
1615316095.743399,4727874,177.00045776367188
1615316103.5445166,4734076,221.56837463378906
1615316107.1562781,4737044,220.873779296875
1615316108.9864411,4738641,166.82131958007812
1615316116.3202748,4744747,155.2018280029297
1615316123.7337782,4750968,157.92491149902344
1615316135.9097154,4761707,209.0971221923828
1615316137.631532,4763257,188.2404327392578
1615316141.4280858,4766244,-937.3245239257812
1615316169.0916674,4789361,203.07156372070312
1615316179.798827,4798574,203.7529296875
1615316185.2252614,4803082,221.3797149658203
1615316189.0065577,4806159,135.21971130371094
1615316189.0076835,4806185,346.0408935546875
1615316202.4039888,4817020,232.17916870117188
